Customer ID,Recency,Frequency,Monetary,Customer Name,Segment,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment
AG-10495,79,29,15380.31006,Andrew Gjertsen,Corporate,2,5,5,12,At Risk
AG-10525,13,20,8468.963,Andy Gerbode,Corporate,4,3,3,10,Loyal Customers
AG-10675,48,21,13023.836000000001,Anna Gayman,Consumer,3,3,4,10,Loyal Customers
AG-10765,29,27,9824.7795,Anthony Garverick,Home Office,3,4,4,11,Loyal Customers
AG-10900,58,29,18174.17176,Arthur Gainer,Consumer,2,5,5,12,At Risk
AG-270,14,8,2779.806,Alejandro Grove,Consumer,4,2,2,8,Potential Loyalists
AG-300,99,6,1703.31,Aleksandra Gannaway,Corporate,2,1,2,5,Lost
AG-330,3,7,532.545,Alex Grayson,Consumer,5,2,1,8,Potential Loyalists
AG-390,113,4,473.112,Allen Goldenen,Consumer,2,1,1,4,Lost
AG-495,49,11,1003.9920000000001,Andrew Gjertsen,Corporate,3,3,1,7,Others
AG-525,16,7,2870.676,Andy Gerbode,Corporate,4,2,2,8,Potential Loyalists
AG-675,174,10,2368.131,Anna Gayman,Consumer,1,3,2,6,At Risk
AG-765,115,8,1859.5320000000002,Anthony Garverick,Home Office,2,2,2,6,Lost
AG-900,24,4,1699.47,Arthur Gainer,Consumer,4,1,2,7,Potential Loyalists
AH-10030,13,27,14439.49784,Aaron Hawkins,Corporate,4,4,5,13,Champions
AH-10075,3,34,18109.86142,Adam Hart,Corporate,5,5,5,15,Champions
AH-10120,61,22,9927.83588,Adrian Hane,Home Office,2,3,4,9,At Risk
AH-10195,50,25,12628.19178,Alan Haines,Corporate,2,4,4,10,At Risk
AH-10210,7,34,20365.74018,Alan Hwang,Consumer,5,5,5,15,Champions
AH-10465,71,20,8547.83068,Amy Hunt,Consumer,2,3,3,8,At Risk
AH-10585,22,22,9125.8911,Angele Hood,Consumer,4,3,3,10,Loyal Customers
AH-10690,31,31,16276.16112,Anna Häberlin,Corporate,3,5,5,13,Loyal Customers
AH-120,22,4,1478.0819999999999,Adrian Hane,Home Office,4,1,2,7,Potential Loyalists
AH-195,279,9,2651.565,Alan Haines,Corporate,1,3,2,6,At Risk
AH-210,458,4,3277.11,Alan Hwang,Consumer,1,1,3,5,Cant Lose Them
AH-30,469,7,6320.0160000000005,Aaron Hawkins,Corporate,1,2,3,6,Cant Lose Them
AH-465,242,4,650.826,Amy Hunt,Consumer,1,1,1,3,Lost
AH-585,76,9,2232.222,Angele Hood,Consumer,2,3,2,7,At Risk
AH-690,59,5,1817.898,Anna Häberlin,Corporate,2,1,2,5,Lost
AH-75,38,8,3608.34,Adam Hart,Corporate,3,2,3,8,Potential Loyalists
AI-10855,14,22,8358.6023,Arianne Irving,Consumer,4,3,3,10,Loyal Customers
AI-855,204,4,919.974,Arianne Irving,Consumer,1,1,1,3,Lost
AJ-10780,49,25,15186.0672,Anthony Jacobs,Corporate,3,4,5,12,Loyal Customers
AJ-10795,63,22,8887.077,Anthony Johnson,Corporate,2,3,3,8,At Risk
AJ-10945,29,29,11087.024,Ashley Jarboe,Consumer,3,5,4,12,Loyal Customers
AJ-10960,49,17,8633.59348,Astrea Jones,Consumer,3,3,3,9,Loyal Customers
AJ-780,2,12,2570.994,Anthony Jacobs,Corporate,5,3,2,10,Others
AJ-795,37,10,3395.58,Anthony Johnson,Corporate,3,3,3,9,Loyal Customers
AJ-945,105,7,4860.924,Ashley Jarboe,Consumer,2,2,3,7,Cant Lose Them
AJ-960,295,10,4629.156,Astrea Jones,Consumer,1,3,3,7,At Risk
AM-10360,16,33,16730.3296,Alice McCarthy,Corporate,4,5,5,14,Champions
AM-10705,26,30,24218.5645,Anne McFarland,Consumer,4,5,5,14,Champions
AM-360,176,6,2035.827,Alice McCarthy,Corporate,1,2,2,5,Lost
AM-705,137,6,1303.77,Anne McFarland,Consumer,1,2,1,4,Lost
AO-10810,37,27,14537.7966,Anthony O'Donnell,Corporate,3,4,5,12,Loyal Customers
AO-810,8,5,485.007,Anthony O'Donnell,Corporate,5,1,1,7,Potential Loyalists
AP-10720,42,20,15362.0613,Anne Pryor,Home Office,3,3,5,11,Loyal Customers
AP-10915,77,32,15877.8603,Arthur Prichep,Consumer,2,5,5,12,At Risk
AP-720,38,6,999.699,Anne Pryor,Home Office,3,2,1,6,Potential Loyalists
AP-915,93,5,2668.08,Arthur Prichep,Consumer,2,1,2,5,Lost
AR-10345,30,26,14165.796199999999,Alex Russell,Corporate,3,4,4,11,Loyal Customers
AR-10405,55,22,8956.82078,Allen Rosenblatt,Corporate,2,3,3,8,At Risk
AR-10510,15,29,14277.88536,Andrew Roberts,Consumer,4,5,5,14,Champions
AR-10540,7,15,7983.9505,Andy Reiter,Consumer,5,3,3,11,Loyal Customers
AR-10570,3,18,9445.64932,Anemone Ratner,Consumer,5,3,3,11,Loyal Customers
AR-10825,23,38,15311.035600000001,Anthony Rawles,Corporate,4,5,5,14,Champions
AR-345,142,9,2301.072,Alex Russell,Corporate,1,3,2,6,At Risk
AR-405,223,6,571.11,Allen Rosenblatt,Corporate,1,2,1,4,Lost
AR-510,105,10,2638.638,Andrew Roberts,Consumer,2,3,2,7,At Risk
AR-540,222,8,561.6,Andy Reiter,Consumer,1,2,1,4,Lost
AR-570,71,9,2044.278,Anemone Ratner,Consumer,2,3,2,7,At Risk
AR-825,34,7,2028.9119999999998,Anthony Rawles,Corporate,3,2,2,7,Potential Loyalists
AS-10045,24,28,12596.2944,Aaron Smayling,Corporate,4,5,4,13,Champions
AS-10090,16,32,15009.47272,Adam Shillingsburg,Consumer,4,5,5,14,Champions
AS-10135,42,19,7307.2442,Adrian Shami,Home Office,3,3,3,9,Loyal Customers
AS-10225,13,28,21366.8987,Alan Schoenberger,Corporate,4,5,5,14,Champions
AS-10240,13,31,9006.66636,Alan Shonely,Consumer,4,5,3,12,Loyal Customers
AS-10285,19,30,16179.86246,Alejandro Savely,Corporate,4,5,5,14,Champions
AS-10630,36,19,9815.9395,Ann Steele,Home Office,3,3,3,9,Loyal Customers
AS-135,93,5,3978.81,Adrian Shami,Home Office,2,1,3,6,Cant Lose Them
AS-225,3,7,469.515,Alan Schoenberger,Corporate,5,2,1,8,Potential Loyalists
AS-240,499,5,1686.51,Alan Shonely,Consumer,1,1,2,4,Lost
AS-285,100,13,4938.4619999999995,Alejandro Savely,Corporate,2,3,3,8,At Risk
AS-45,234,3,1616.334,Aaron Smayling,Corporate,1,1,2,4,Lost
AS-630,34,11,2000.01,Ann Steele,Home Office,3,3,2,8,Others
AS-90,22,4,435.204,Adam Shillingsburg,Consumer,4,1,1,6,Potential Loyalists
AT-10435,13,24,13654.3055,Alyssa Tate,Home Office,4,4,4,12,Champions
AT-10735,3,29,12984.1049,Annie Thurman,Consumer,5,5,4,14,Champions
AT-435,29,12,1287.993,Alyssa Tate,Home Office,3,3,1,7,Others
AT-735,70,5,403.65000000000003,Annie Thurman,Consumer,2,1,1,4,Lost
AW-10840,17,25,13200.25552,Anthony Witt,Consumer,4,4,4,12,Champions
AW-10930,36,22,10230.95856,Arthur Wiediger,Home Office,3,3,4,10,Loyal Customers
AW-840,57,7,1947.0,Anthony Witt,Consumer,2,2,2,6,Lost
AW-930,38,6,782.0550000000001,Arthur Wiediger,Home Office,3,2,1,6,Potential Loyalists
AY-10555,15,16,5446.61044,Andy Yotov,Corporate,4,3,3,10,Loyal Customers
AY-555,36,11,3096.42,Andy Yotov,Corporate,3,3,2,8,Others
AZ-10750,71,18,9639.801,Annie Zypern,Consumer,2,3,3,8,At Risk
AZ-750,27,10,2231.277,Annie Zypern,Consumer,4,3,2,9,Others
BB-10990,15,30,9064.5327,Barry Blumstein,Corporate,4,5,3,12,Loyal Customers
BB-11545,29,26,15797.57188,Brenda Bowman,Corporate,3,4,5,12,Loyal Customers
BB-1545,50,5,207.228,Brenda Bowman,Corporate,2,1,1,4,Lost
BB-990,51,7,822.288,Barry Blumstein,Corporate,2,2,1,5,Lost
BC-11125,34,28,14789.447,Becky Castell,Home Office,3,5,5,13,Loyal Customers
BC-1125,30,6,396.042,Becky Castell,Home Office,3,2,1,6,Potential Loyalists
BD-11320,6,32,13390.267,Bill Donatelli,Consumer,5,5,4,14,Champions
BD-11500,20,27,13089.8495,Bradley Drucker,Consumer,4,4,4,12,Champions
BD-11560,8,19,9356.77974,Brendan Dodson,Home Office,5,3,3,11,Loyal Customers
BD-11605,98,19,9202.66214,Brian Dahlen,Consumer,2,3,3,8,At Risk
BD-11620,50,25,7849.0000199999995,Brian DeCherney,Consumer,2,4,3,9,At Risk
BD-11635,10,25,11230.6983,Brian Derr,Consumer,5,4,4,13,Champions
BD-11725,5,30,10877.827,Bruce Degenhardt,Consumer,5,5,4,14,Champions
BD-11770,36,26,10168.32526,Bryan Davis,Consumer,3,4,4,11,Loyal Customers
BD-1320,6,6,1885.05,Bill Donatelli,Consumer,5,2,2,9,Potential Loyalists
BD-1500,399,3,52.047,Bradley Drucker,Consumer,1,1,1,3,Lost
BD-1560,91,5,1564.02,Brendan Dodson,Home Office,2,1,2,5,Lost
BD-1605,276,5,689.64,Brian Dahlen,Consumer,1,1,1,3,Lost
BD-1620,118,11,2919.597,Brian DeCherney,Consumer,2,3,2,7,At Risk
BD-1635,325,9,5689.263,Brian Derr,Consumer,1,3,3,7,At Risk
BD-1725,101,13,5078.400000000001,Bruce Degenhardt,Consumer,2,3,3,8,At Risk
BD-1770,239,5,3405.066,Bryan Davis,Consumer,1,1,3,5,Cant Lose Them
BE-11335,36,37,27158.0184,Bill Eplett,Home Office,3,5,5,13,Loyal Customers
BE-11410,85,30,16552.06996,Bobby Elias,Consumer,2,5,5,12,At Risk
BE-11455,4,27,17643.5253,Brad Eason,Home Office,5,4,5,14,Champions
BE-1335,573,5,1321.1490000000001,Bill Eplett,Home Office,1,1,1,3,Lost
BE-1410,22,7,1859.859,Bobby Elias,Consumer,4,2,2,8,Potential Loyalists
BE-1455,147,2,1340.31,Brad Eason,Home Office,1,1,1,3,Lost
BF-1005,735,2,732.033,Barry Franz,Home Office,1,1,1,3,Lost
BF-1020,97,7,3006.996,Barry Französisch,Corporate,2,2,2,6,Lost
BF-1080,210,6,3808.17,Bart Folk,Consumer,1,2,3,6,Cant Lose Them
BF-10975,36,22,8104.7792,Barbara Fisher,Corporate,3,3,3,9,Loyal Customers
BF-11005,9,25,23347.83866,Barry Franz,Home Office,5,4,5,14,Champions
BF-11020,16,24,10201.2813,Barry Französisch,Corporate,4,4,4,12,Champions
BF-11080,26,21,10134.5617,Bart Folk,Consumer,4,3,4,11,Loyal Customers
BF-11170,17,31,22314.84044,Ben Ferrer,Home Office,4,5,5,14,Champions
BF-11215,27,27,12968.9385,Benjamin Farhat,Home Office,4,4,4,12,Champions
BF-11275,7,23,9578.59864,Beth Fritzler,Corporate,5,4,3,12,Loyal Customers
BF-1170,194,6,904.9200000000001,Ben Ferrer,Home Office,1,2,1,4,Lost
BF-1215,118,5,398.91900000000004,Benjamin Farhat,Home Office,2,1,1,4,Lost
BF-1275,129,7,1009.9739999999999,Beth Fritzler,Corporate,1,2,1,4,Lost
BF-975,23,8,1730.232,Barbara Fisher,Corporate,4,2,2,8,Potential Loyalists
BG-1035,601,1,124.416,Barry Gonzalez,Consumer,1,1,1,3,Lost
BG-11035,29,33,19899.1474,Barry Gonzalez,Consumer,3,5,5,13,Loyal Customers
BG-11695,10,19,10723.32038,Brooke Gillingham,Corporate,5,3,4,12,Loyal Customers
BG-11740,7,24,14689.342499999999,Bruce Geld,Consumer,5,4,5,14,Champions
BG-1695,45,5,488.84999999999997,Brooke Gillingham,Corporate,3,1,1,5,Potential Loyalists
BG-1740,17,4,692.454,Bruce Geld,Consumer,4,1,1,6,Potential Loyalists
BH-11710,24,31,23537.335,Brosina Hoffman,Consumer,4,5,5,14,Champions
BH-1710,94,10,4583.286,Brosina Hoffman,Consumer,2,3,3,8,At Risk
BK-11260,27,27,13294.68736,Berenike Kampe,Consumer,4,4,4,12,Champions
BK-1260,41,6,291.564,Berenike Kampe,Consumer,3,2,1,6,Potential Loyalists
BM-11140,9,29,25312.2927,Becky Martin,Consumer,5,5,5,15,Champions
BM-1140,14,6,1857.69,Becky Martin,Consumer,4,2,2,8,Potential Loyalists
BM-11575,35,25,10351.33308,Brendan Murry,Corporate,3,4,4,11,Loyal Customers
BM-11650,34,24,14920.99608,Brian Moss,Corporate,3,4,5,12,Loyal Customers
BM-11785,3,36,18446.8529,Bryan Mills,Consumer,5,5,5,15,Champions
BM-1575,41,9,1703.982,Brendan Murry,Corporate,3,3,2,8,Others
BM-1650,482,8,2537.1059999999998,Brian Moss,Corporate,1,2,2,5,Lost
BM-1785,49,9,2244.342,Bryan Mills,Consumer,3,3,2,8,Others
BN-11470,12,29,23378.10388,Brad Norvell,Corporate,5,5,5,15,Champions
BN-11515,10,23,10272.22552,Bradley Nguyen,Consumer,5,4,4,13,Champions
BN-1470,23,7,2823.852,Brad Norvell,Corporate,4,2,2,8,Potential Loyalists
BN-1515,28,8,2606.8019999999997,Bradley Nguyen,Consumer,3,2,2,7,Potential Loyalists
BO-11350,112,20,7476.2546999999995,Bill Overfelt,Corporate,2,3,3,8,At Risk
BO-11425,6,21,12356.58552,Bobby Odegard,Consumer,5,3,4,12,Loyal Customers
BO-1350,22,6,616.236,Bill Overfelt,Corporate,4,2,1,7,Potential Loyalists
BO-1425,2,8,2671.257,Bobby Odegard,Consumer,5,2,2,9,Potential Loyalists
BP-1050,12,9,4981.542,Barry Pond,Corporate,5,3,3,11,Loyal Customers
BP-1095,12,6,1759.668,Bart Pistole,Corporate,5,2,2,9,Potential Loyalists
BP-11050,6,21,5403.78676,Barry Pond,Corporate,5,3,3,11,Loyal Customers
BP-11095,3,32,8327.8696,Bart Pistole,Corporate,5,5,3,13,Loyal Customers
BP-11155,33,24,13696.143460000001,Becky Pak,Consumer,3,4,4,11,Loyal Customers
BP-11185,2,28,15376.031719999999,Ben Peterman,Corporate,5,5,5,15,Champions
BP-11230,40,23,12573.6136,Benjamin Patterson,Consumer,3,4,4,11,Loyal Customers
BP-11290,13,29,12448.89978,Beth Paige,Consumer,4,5,4,13,Champions
BP-1155,262,6,1110.78,Becky Pak,Consumer,1,2,1,4,Lost
BP-1185,5,10,1430.616,Ben Peterman,Corporate,5,3,2,10,Others
BP-1230,84,8,6134.988,Benjamin Patterson,Consumer,2,2,3,7,Cant Lose Them
BP-1290,370,4,383.34000000000003,Beth Paige,Consumer,1,1,1,3,Lost
BS-11365,1,26,22551.02596,Bill Shonely,Corporate,5,4,5,14,Champions
BS-11380,29,23,18305.9783,Bill Stewart,Corporate,3,4,5,12,Loyal Customers
BS-11590,36,23,11358.58602,Brendan Sweed,Corporate,3,4,4,11,Loyal Customers
BS-11665,30,24,17468.881,Brian Stugart,Consumer,3,4,5,12,Loyal Customers
BS-11755,2,29,17557.4595,Bruce Stewart,Consumer,5,5,5,15,Champions
BS-11800,10,21,10887.2118,Bryan Spruell,Home Office,5,3,4,12,Loyal Customers
BS-1365,38,5,957.63,Bill Shonely,Corporate,3,1,1,5,Potential Loyalists
BS-1380,132,5,469.458,Bill Stewart,Corporate,1,1,1,3,Lost
BS-1590,238,5,819.4499999999999,Brendan Sweed,Corporate,1,1,1,3,Lost
BS-1665,153,7,5101.907999999999,Brian Stugart,Consumer,1,2,3,6,Cant Lose Them
BS-1755,296,5,1679.76,Bruce Stewart,Consumer,1,1,2,4,Lost
BS-1800,12,9,6364.854,Bryan Spruell,Home Office,5,3,3,11,Loyal Customers
BT-11305,29,24,10321.82,Beth Thompson,Home Office,3,4,4,11,Loyal Customers
BT-11395,29,24,11347.529,Bill Tyler,Corporate,3,4,4,11,Loyal Customers
BT-11440,52,21,8263.9755,Bobby Trafton,Consumer,2,3,3,8,At Risk
BT-11485,31,29,8878.05054,Brad Thomas,Home Office,3,5,3,11,Loyal Customers
BT-11530,34,25,13808.318,Bradley Talbott,Home Office,3,4,4,11,Loyal Customers
BT-11680,19,22,14087.7631,Brian Thompson,Consumer,4,3,4,11,Loyal Customers
BT-1305,32,10,1305.96,Beth Thompson,Home Office,3,3,1,7,Others
BT-1395,34,4,448.848,Bill Tyler,Corporate,3,1,1,5,Potential Loyalists
BT-1440,94,10,2132.565,Bobby Trafton,Consumer,2,3,2,7,At Risk
BT-1485,98,9,2803.974,Brad Thomas,Home Office,2,3,2,7,At Risk
BT-1530,353,7,1535.781,Bradley Talbott,Home Office,1,2,2,5,Lost
BT-1680,58,4,807.36,Brian Thompson,Consumer,2,1,1,4,Lost
BV-11245,45,22,20681.678,Benjamin Venier,Corporate,3,4,5,12,Loyal Customers
BV-1245,129,3,684.264,Benjamin Venier,Corporate,1,1,1,3,Lost
BW-1065,23,5,9027.48,Barry Weirich,Consumer,4,1,3,8,Potential Loyalists
BW-11065,51,18,8409.0559,Barry Weirich,Consumer,2,3,3,8,At Risk
BW-1110,185,10,1696.83,Bart Watters,Corporate,1,3,2,6,At Risk
BW-11110,55,35,30613.6165,Bart Watters,Corporate,2,5,5,12,At Risk
BW-11200,41,29,11862.36908,Ben Wallace,Consumer,3,5,4,12,Loyal Customers
BW-1200,134,4,3105.816,Ben Wallace,Consumer,1,1,2,4,Lost
CA-11965,19,26,21110.5214,Carol Adams,Corporate,4,4,5,13,Champions
CA-12055,14,22,10691.028,Cathy Armstrong,Home Office,4,4,4,12,Champions
CA-12265,35,31,18472.6689,Christina Anderson,Consumer,3,5,5,13,Loyal Customers
CA-12310,14,21,7166.23086,Christine Abelman,Corporate,4,3,3,10,Loyal Customers
CA-12775,94,26,18350.464,Cynthia Arntzen,Consumer,2,4,5,11,At Risk
CA-1965,128,8,2883.141,Carol Adams,Corporate,1,2,2,5,Lost
CA-2055,259,3,1601.73,Cathy Armstrong,Home Office,1,1,2,4,Lost
CA-2265,106,7,3364.638,Christina Anderson,Consumer,2,2,3,7,Cant Lose Them
CA-2310,337,5,636.0600000000001,Christine Abelman,Corporate,1,1,1,3,Lost
CA-2775,310,4,1485.897,Cynthia Arntzen,Consumer,1,1,2,4,Lost
CB-12025,10,25,11685.3186,Cassandra Brandow,Consumer,5,4,4,13,Champions
CB-12415,27,23,12705.54736,Christy Brittain,Consumer,4,4,4,12,Champions
CB-12535,43,27,18108.67284,Claudia Bergmann,Corporate,3,4,5,12,Loyal Customers
CB-2025,23,5,1840.8899999999999,Cassandra Brandow,Consumer,4,1,2,7,Potential Loyalists
CB-2415,517,4,1232.568,Christy Brittain,Consumer,1,1,1,3,Lost
CB-2535,8,2,147.12,Claudia Bergmann,Corporate,5,1,1,7,Potential Loyalists
CC-12100,52,25,11500.12324,Chad Cunningham,Home Office,2,4,4,10,At Risk
CC-12145,83,24,12190.6666,Charles Crestani,Consumer,2,4,4,10,At Risk
CC-12220,21,32,7308.7328,Chris Cortes,Consumer,4,5,3,12,Loyal Customers
CC-12370,44,30,28229.8514,Christopher Conant,Consumer,3,5,5,13,Loyal Customers
CC-12430,1,29,13997.592560000001,Chuck Clark,Home Office,5,5,4,14,Champions
CC-12475,17,30,17159.80046,Cindy Chapman,Consumer,4,5,5,14,Champions
CC-12550,28,25,7908.65034,Clay Cheatham,Consumer,3,4,3,10,Loyal Customers
CC-12610,17,29,16822.64,Corey Catlett,Corporate,4,5,5,14,Champions
CC-12670,17,28,9969.0279,Craig Carreira,Consumer,4,5,4,13,Champions
CC-12685,55,20,12798.5442,Craig Carroll,Consumer,2,3,4,9,At Risk
CC-2100,61,5,1020.048,Chad Cunningham,Home Office,2,1,1,4,Lost
CC-2145,505,6,1158.18,Charles Crestani,Consumer,1,2,1,4,Lost
CC-2220,22,12,4174.182,Chris Cortes,Consumer,4,3,3,10,Loyal Customers
CC-2370,7,9,6957.225,Christopher Conant,Consumer,5,3,3,11,Loyal Customers
CC-2430,472,2,1041.57,Chuck Clark,Home Office,1,1,1,3,Lost
CC-2475,56,7,3709.881,Cindy Chapman,Consumer,2,2,3,7,Cant Lose Them
CC-2550,272,5,1433.3999999999999,Clay Cheatham,Consumer,1,1,2,4,Lost
CC-2610,345,3,782.3879999999999,Corey Catlett,Corporate,1,1,1,3,Lost
CC-2670,147,6,1527.5819999999999,Craig Carreira,Consumer,1,2,2,5,Lost
CC-2685,132,5,4019.4120000000003,Craig Carroll,Consumer,1,1,3,5,Cant Lose Them
CD-11920,3,27,18296.7474,Carlos Daly,Consumer,5,4,5,14,Champions
CD-11980,2,23,11848.16246,Carol Darley,Consumer,5,4,4,13,Champions
CD-12280,42,24,16779.54838,Christina DeMoss,Consumer,3,4,5,12,Loyal Customers
CD-12790,77,25,13468.1145,Cynthia Delaney,Home Office,2,4,4,10,At Risk
CD-1920,315,4,1821.219,Carlos Daly,Consumer,1,1,2,4,Lost
CD-1980,7,7,1380.228,Carol Darley,Consumer,5,2,2,9,Potential Loyalists
CD-2280,13,7,1205.04,Christina DeMoss,Consumer,4,2,1,7,Potential Loyalists
CD-2790,132,7,1030.788,Cynthia Delaney,Home Office,1,2,1,4,Lost
CG-12040,22,19,3596.268,Catherine Glotzbach,Home Office,4,3,3,10,Loyal Customers
CG-12520,29,18,13545.47002,Claire Gute,Consumer,3,3,4,10,Loyal Customers
CG-2040,379,5,518.94,Catherine Glotzbach,Home Office,1,1,1,3,Lost
CG-2520,120,7,1116.204,Claire Gute,Consumer,2,2,1,5,Lost
CH-12070,90,21,11122.55656,Cathy Hwang,Home Office,2,3,4,9,At Risk
CH-2070,307,8,4545.6179999999995,Cathy Hwang,Home Office,1,2,3,6,Cant Lose Them
CJ-11875,14,23,12538.83296,Carl Jackson,Corporate,4,4,4,12,Champions
CJ-12010,34,26,19356.0046,Caroline Jumper,Consumer,3,4,5,12,Loyal Customers
CJ-1875,33,6,1431.432,Carl Jackson,Corporate,3,2,2,7,Potential Loyalists
CJ-2010,47,3,223.56,Caroline Jumper,Consumer,3,1,1,5,Potential Loyalists
CK-12205,5,38,13625.20784,Chloris Kastensmidt,Consumer,5,5,4,14,Champions
CK-12325,62,27,9927.89832,Christine Kargatis,Home Office,2,4,4,10,At Risk
CK-12595,44,33,16480.86618,Clytie Kelty,Consumer,3,5,5,13,Loyal Customers
CK-12760,58,26,6574.8044,Cyma Kinney,Corporate,2,4,3,9,At Risk
CK-2205,80,5,950.697,Chloris Kastensmidt,Consumer,2,1,1,4,Lost
CK-2325,1,8,3125.295,Christine Kargatis,Home Office,5,2,2,9,Potential Loyalists
CK-2595,216,3,662.28,Clytie Kelty,Consumer,1,1,1,3,Lost
CK-2760,38,12,4015.95,Cyma Kinney,Corporate,3,3,3,9,Loyal Customers
CL-11890,14,31,17622.41136,Carl Ludwig,Consumer,4,5,5,14,Champions
CL-12565,6,30,17008.13588,Clay Ludtke,Consumer,5,5,5,15,Champions
CL-12700,9,31,17943.6508,Craig Leslie,Home Office,5,5,5,15,Champions
CL-1890,93,9,560.745,Carl Ludwig,Consumer,2,3,1,6,At Risk
CL-2565,43,6,2775.636,Clay Ludtke,Consumer,3,2,2,7,Potential Loyalists
CL-2700,142,4,1432.374,Craig Leslie,Home Office,1,1,2,4,Lost
CM-11815,41,23,14362.8004,Candace McMahon,Corporate,3,4,5,12,Loyal Customers
CM-11830,7,24,16828.819,Cari MacIntyre,Corporate,5,4,5,14,Champions
CM-11935,37,18,9689.0124,Carlos Meador,Consumer,3,3,3,9,Loyal Customers
CM-12115,9,20,14657.9493,Chad McGuire,Consumer,5,3,5,13,Loyal Customers
CM-12160,27,26,17910.03942,Charles McCrossin,Consumer,4,4,5,13,Champions
CM-12190,1,25,11375.05222,Charlotte Melton,Consumer,5,4,4,13,Champions
CM-12235,43,22,11377.591,Chris McAfee,Consumer,3,4,4,11,Loyal Customers
CM-12385,38,25,21882.96992,Christopher Martinez,Consumer,3,4,5,12,Loyal Customers
CM-12445,16,25,11971.70808,Chuck Magee,Consumer,4,4,4,12,Champions
CM-12655,28,18,14188.72268,Corinna Mitchell,Home Office,3,3,5,11,Loyal Customers
CM-12715,42,19,8392.5789,Craig Molinari,Corporate,3,3,3,9,Loyal Customers
CM-1815,62,5,431.874,Candace McMahon,Corporate,2,1,1,4,Lost
CM-1830,114,13,4777.407,Cari MacIntyre,Corporate,2,3,3,8,At Risk
CM-1935,49,7,459.294,Carlos Meador,Consumer,3,2,1,6,Potential Loyalists
